comment,sentiment
最新进展！招行被认定与钱端合作未备案 整改期间扩大业务范围,0
最前线 | 董明珠白送了三万台手机，却可能依旧救不了它的手机业务,1
自媒体抹黑科大讯飞 被判道歉赔款,1
自查发现虚增利润约14亿元 昊华能源开盘一字跌停,1
自爆重大会计差错 昊华能源股价跌停,1
自爆虚增14亿，上交所五大拷问，昊华能源开盘一字跌停,1
紫金银行巨量解禁来袭，上市一周年累计跌幅逾50%,0
紫金银行低开7% 13.69亿股限售股今日上市流通,0
子公司信披违规被查 亚太药业将遭投资者索赔,0
子公司信披违规被查 亚太药业将遭投资者索赔,1
子公司超标排污被罚100万元 煌上煌(002695.SZ)对处罚结果不服已提请行政讼诉,0
资本摁下暂停键 今年影视公司注销3000家,1
资本动态|拟10转10派20，拉卡拉收深交所关注函,1
资本策略地产被基金减持465万股,1
资本策略地产(00497.HK)遭Fund减持465万股,1
庄士中国：民事起诉状所载指控实属虚构及没有依据,1
庄士中国(00298.HK)：民事起诉状所载指控实属虚构及没有依据,1
注销资不抵债孙公司 榕基软件2019前三季度净利润减少93%,0
住建厅：通报64家建企资质核查不合格,1
住建部首定高风险 长租公寓的雷响了,1
住建部等6部门整治租房市场 遏制平台“高进低出、长收短付”,1
主动披露重大会计差错 昊华能源称将积极维护股东权益,1
周发章是否配合公司年底突击创利？*ST尤夫收问询函,0
周发章是否配合公司年底突击创利？*ST尤夫收问询函,1
重整计划在年末获法院批准 坚瑞沃能欲破局迎“新生”?,1
重要内容未达成一致 三维通信终止收购万嘉通,0
重要内容未达成一致 三维通信终止收购万嘉通,1
重庆钢铁股份(01053)核销1.85亿元应收款项,1
重庆钢铁股份(01053)：李永祥辞任总经理,1
重庆钢铁(01053.HK)进行应收款项核销已计提坏账準备1.85亿人币,1
重磅！小米甩掉“步枪”，换上联想“老炮”,1
重磅！联想手机负责人离职，加入小米,0
众应互联矿机交易疑云续集：子公司“代采购”为配合亿邦上市，真正买方为银豆网李永刚,0
众加利分管公路业务的副总经理陈其晶辞职 持有公司19.57%股份,1
众合科技(000925.SZ)：楼洪海累计减持161.99万股 减持数量过半,0
众合科技(000925.SZ)：楼洪海累计减持161.99万股 减持数量过半,1
众合科技(000925.SZ)：第一大股东解押2800万股及质押3000万股,0
众合科技(000925.SZ)：第一大股东解押2800万股及质押3000万股,1
中州证券(01375.HK)主要股东累计减持830万股A股,1
中远海能(01138-HK)被摩根大通减持约200.8万股,1
中原城市领先指数报177.71点 创39周低 全年累升1.84%,1
中银国际小幅下调贵州茅台19-20年净利预测 但相信未来存在上调出厂价可能性,0
中盛光电“未了局”：昔日伙伴嘉泽集团、中融鼎兴卷入,1
中润资源(000506.SZ)延期回复深交所关注函,1
中牧股份疫苗厂致兰州布病事件背后：布病早期发现难 并发症折磨人,1
中牧股份卷入兰州布病事件 股价三连跌跌幅逾10%,1
中牧对“兰兽研布病调查事件通报结果”的回应,1
中绿中期亏损逾1.6亿元人民币 不派息,1
中粮可乐大股东中国食品董事总经理栾秀菊退休，庆立军接棒,1
中联重科(01157-HK)被摩根大通减持342.74万股,1
中联重科(01157.HK)遭JP Morgan减持342万股,1
中联重科(000157.SZ)：十一位股东已合计减持773.7559万股,0
中金CEO换将：毕明建辞任 投行负责人黄朝晖接棒,1
中环装备(300140.SZ)：中科坤健拟减持不超958.3万股,0
中环装备(300140.SZ)：中科坤健拟减持不超958.3万股,1
中环股份起诉雪球侵权 近3亿美元海外收购风波未平,0
中环股份起诉雪球侵权,0
中海重工(00651.HK)一附属遭江苏法院裁定破产,1
中国医疗集团(08225)：郭夏完成培训,0
中国现大量可售不良资产包 七成涉房地产抵押,0
中国铜原料谈判小组昨日召开会议，已确定减产,1
中国汽车流通协会：预计1月汽车销量环比略降,0
中国旅游走向高品质,1
中国基础能源(08117.HK)停牌 未悉原因,1
中国基础能源(08117)12月30日上午起短暂停牌 原因待公布,1
中国基础能源(08117)12月30日起短暂停牌 待公布有关公司主要交易的内幕消息,1
中国电信超2亿用户信息被卖 售价低至0.01元/条,0
中国电信超2亿用户信息被卖 售价低至0.01元/条,1
中国电信超2亿条用户信息在网上出售，售价最低至0.01元/条,0
中国车企洗牌：产业发展不均衡 重组破产清算成常态,0
中国宝安两股东收监管函：举牌未及时披露，还继续交易,0
中国宝安股东滞后半年披露举牌，收深交所监管函,0
中国宝安股东滞后半年披露举牌，收深交所监管函,1
中国3000家农产品电商亏损的背后是什么在作怪？,0
中国“钾肥之王”第六次在线拍卖资产包,0
智云股份：公司董秘史爽辞职,0
直击行业痛点，存量资产高峰论坛破题长租公寓发展瓶颈,0
直播答题死灰复燃，潮起潮落都是钱的事？,1
织造厂家：账期2-3个月；面料贸易：应收款3个月以上！纺织市场：年关年关，年年过关！,1
织造厂家：账期2-3个月；面料贸易：应收款3个月以上！纺织市场：年关年关，年年过关！,1
支持政策接踵而至 新三板公司资本市场布局多样化,0
支持政策接踵而至 新三板公司资本市场布局多样化,1
证监会对ST抚钢违规事件措辞严厉,1
正邦科技(002157.SZ)：LIEW KENNETH THOW JIUN已减持700万股,0
真惨，首付跌没了！北京房价史上最长熊市？1450万砍价300万…,0
真"ZARA"也撑不住了？武汉集体关店，更多大牌也关店！网友：网购太方便了,0
浙江力诺净利增速远超营收蹊跷 数据打架客户也打架,0
浙江力诺净利增速远超营收蹊跷 数据打架客户也打架,1
浙江力诺将上会，实控人曾多次短线交易违规,1
浙江东方减持华安证券“套现”设立私募股权基金存未知数,0
这些公司敲响并购“失控”警钟,1
招商证券吃警示函 部分重大决策等未经合规审查,1
招商蛇口转型冰与火：前三季度营收净利双降，1458亿资产重组成果待释放,1
招商蛇口合肥项目爆发业主维权 官方介入调查,0
招商蛇口：为JUMBO12亿元授信额度提供担保,1
招商南油：副总经理舒广仁辞职,0
